"","variable","expected_gain","EVPI_do","EVPI_dont"
"discount_rate","discount_rate",-143564.270235198,143564.270235198,0
"var_CV","var_CV",-144628.343043628,144628.343043628,0
"n_years","n_years",NA,0,0
"production_area","production_area",NA,0,0
"chance_high_risk","chance_high_risk",-144559.319213436,144559.319213436,0
"Initial_investment_G","Initial_investment_G",-144723.840556696,144723.840556696,0
"Initial_investment_I","Initial_investment_I",-144844.962225656,144844.962225656,0
"Initial_investment_S","Initial_investment_S",-144029.006167552,144029.006167552,0
"additional_investment_G","additional_investment_G",-145226.743509055,145226.743509055,0
"additional_investment_I","additional_investment_I",-145085.898788617,145085.898788617,0
"additional_investment_S","additional_investment_S",-143899.085486608,143899.085486608,0
"labor_costs_G","labor_costs_G",-135377.603071255,135377.603071255,0
"labor_costs_I","labor_costs_I",-142689.2824691,142689.2824691,0
"labor_costs_S","labor_costs_S",-146774.011459266,147468.977937668,694.966478401371
"post_processing_costs_G","post_processing_costs_G",NA,0,0
"post_processing_costs_I","post_processing_costs_I",NA,0,0
"post_processing_costs_S","post_processing_costs_S",-143618.834514637,143618.834514637,0
"sample_number_G","sample_number_G",-144859.05796005,144859.05796005,0
"sample_number_I","sample_number_I",-142654.030281532,142654.030281532,0
"sample_number_S","sample_number_S",-144876.176743697,144876.176743697,0
"lab_costs_per_sample","lab_costs_per_sample",-144170.74287188,144170.74287188,0
"plant_value_of_discarded_plant","plant_value_of_discarded_plant",-145084.880087397,145084.880087397,0
"plant_value_of_A1_quality","plant_value_of_A1_quality",-145193.655834524,145193.655834524,0
"Number_of_saved_high_quality_plants_G","Number_of_saved_high_quality_plants_G",-143093.6974056,143093.6974056,0
"Number_of_saved_high_quality_plants_I","Number_of_saved_high_quality_plants_I",-141619.857739435,141619.857739435,0
"Number_of_saved_high_quality_plants_S","Number_of_saved_high_quality_plants_S",-126353.601421091,127449.666999894,1096.06557880396
"adjustment_sample_size_G","adjustment_sample_size_G",-143711.396318574,143711.396318574,0
"adjustment_sample_size_I","adjustment_sample_size_I",-144752.58405763,144752.58405763,0
"adjustment_sample_size_S","adjustment_sample_size_S",-144647.246341643,144647.246341643,0
"resource_savings_G","resource_savings_G",-143683.438964334,143683.438964334,0
"resource_savings_I","resource_savings_I",-145081.344422035,145081.344422035,0
"resource_savings_S","resource_savings_S",-144907.26365769,144907.26365769,0
