variable,label
discount_rate,discount_rate
var_CV,var_CV
n_years,n_years
chance_high_risk,chance_high_risk
production_area,production_area
Initial_investment_G,Initial_investment_G
Initial_investment_I,Initial_investment_I
Initial_investment_S,Initial_investment_S
additional_investment_G,additional_investment_G
additional_investment_I,additional_investment_I
additional_investment_S,additional_investment_S
labor_costs_G,labor_costs_G
labor_costs_I,labor_costs_I
labor_costs_S,labor_costs_S
post_processing_costs_G,post_processing_costs_G
post_processing_costs_I,post_processing_costs_I
post_processing_costs_S,post_processing_costs_S
sample_number_G,sample_number_G
sample_number_I,sample_number_I
sample_number_S,sample_number_S
lab_costs_per_sample,lab_costs_per_sample
plant_value_of_discarded_plant,plant_value_of_discarded_plant
plant_value_of_A1_quality,plant_value_of_A1_quality
Number_of_saved_high_quality_plants_G,Number_of_saved_high_quality_plants_G
Number_of_saved_high_quality_plants_I,Number_of_saved_high_quality_plants_I
Number_of_saved_high_quality_plants_S,Number_of_saved_high_quality_plants_S
adjustment_sample_size_G,adjustment_sample_size_G
adjustment_sample_size_I,adjustment_sample_size_I
adjustment_sample_size_S,adjustment_sample_size_S
resource_savings_G,resource_savings_G
resource_savings_I,resource_savings_I
resource_savings_S,resource_savings_S
