"","VIP","Coefficient"
"discount_rate",0.229836346450103,-6795.70433596301
"var_CV",0.0628139508984141,-1857.25645691984
"chance_high_risk",0.684533981600476,20240.0125947281
"Initial_investment_G",0.0104694563124136,309.556476842492
"Initial_investment_I",0.0274837560632746,812.628129242789
"Initial_investment_S",0.0126815363383632,374.962327814399
"additional_investment_G",0.0963051504304265,2847.51014564922
"additional_investment_I",0.049701576846396,-1469.55530096097
"additional_investment_S",0.0954433605895967,-2822.02910642949
"labor_costs_G",0.967301353240632,28600.759200753
"labor_costs_I",2.15893414472869,-63834.4559291733
"labor_costs_S",0.118138809752033,3493.07859299657
"post_processing_costs_S",0.00237755676735117,70.2985975997239
"sample_number_G",0.100302634280283,2965.70606527203
"sample_number_I",0.408141669594979,-12067.7610682257
"sample_number_S",0.0871026303948445,2575.41390728874
"lab_costs_per_sample",0.201022972702697,-5943.76263077462
"plant_value_of_discarded_plant",0.00971911910663538,287.370822216937
"plant_value_of_A1_quality",0.74537046101441,22038.8000072653
"Number_of_saved_high_quality_plants_G",1.45483764969033,-43016.0271724871
"Number_of_saved_high_quality_plants_I",4.34769051372161,128550.682830913
"Number_of_saved_high_quality_plants_S",0.00500604192728558,-148.016540276204
"adjustment_sample_size_G",0.0222298080793459,657.281607046571
"adjustment_sample_size_I",0.0469839441966315,-1389.20148283426
"adjustment_sample_size_S",0.0485124735706024,1434.39639588774
"resource_savings_G",0.146392164436924,-4328.4618902998
"resource_savings_I",0.0983548312148909,2908.11424421528
"resource_savings_S",0.0816879598124319,-2415.31520696111
