"","VIP","Coefficient"
"discount_rate",0.173242195199866,4539.10076373178
"var_CV",0.0378950295338122,-992.88373308894
"chance_high_risk",0.139082610636711,3644.08903636077
"Initial_investment_G",0.0150186336378713,-393.501660130904
"Initial_investment_I",0.112910333853506,2958.35193058127
"Initial_investment_S",1.01002120759105,-26463.4607606576
"additional_investment_G",0.0168760223063952,442.166907729026
"additional_investment_I",0.0500075198704003,1310.24183441103
"additional_investment_S",0.0038860621740011,-101.818311419845
"labor_costs_G",1.12657803672853,29517.3541354541
"labor_costs_I",0.0860692712657271,2255.0920373953
"labor_costs_S",3.68304196041057,-96498.9998889645
"post_processing_costs_S",0.0703987673591691,-1844.5107920569
"sample_number_G",0.140790860923878,3688.84672471829
"sample_number_I",0.00873184732413504,228.782224861818
"sample_number_S",0.115201044501546,-3018.37060236045
"lab_costs_per_sample",0.0189961064581438,497.715012399922
"plant_value_of_discarded_plant",0.0178887386107962,-468.700982441293
"plant_value_of_A1_quality",0.124654261781038,3266.05336650206
"Number_of_saved_high_quality_plants_G",1.66057941615946,-43508.6688172635
"Number_of_saved_high_quality_plants_I",0.0522248547584908,-1368.33799552449
"Number_of_saved_high_quality_plants_S",3.03604036608883,79546.9783128504
"adjustment_sample_size_G",0.0384665781321556,-1007.85881855387
"adjustment_sample_size_I",0.0434838458081556,-1139.31572784612
"adjustment_sample_size_S",0.00388128523047891,101.693151218748
"resource_savings_G",0.10390481419314,-2722.39924526111
"resource_savings_I",0.045279539584144,-1186.36451397246
"resource_savings_S",0.153413073522535,4019.56000608978
