"","5%","50%","95%","enbPa","elPa","elSq","eol","optimalChoice"
"cashflow_G1","  -9709","   -654"," 26144","   3236","  2663","  5899"," 2663","PA"
"cashflow_G2","  -9520","   -334"," 26100","   3622","  2524","  6146"," 2524","PA"
"cashflow_G3","  -9421","   -273"," 26572","   3656","  2518","  6175"," 2518","PA"
"cashflow_G4","  -9526","   -259"," 26307","   3681","  2508","  6189"," 2508","PA"
"cashflow_G5","  -9464","   -307"," 27035","   3722","  2500","  6222"," 2500","PA"
"cashflow_G6","  -9479","   -473"," 26824","   3388","  2563","  5951"," 2563","PA"
"cashflow_G7","  -9520","   -369"," 26188","   3509","  2549","  6058"," 2549","PA"
"cashflow_G8","  -9660","   -472"," 26338","   3481","  2600","  6081"," 2600","PA"
"cashflow_G9","  -9559","   -363"," 26532","   3553","  2551","  6104"," 2551","PA"
"cashflow_G10","  -9517","   -552"," 26267","   3441","  2600","  6041"," 2600","PA"
"NPV_G"," -61281","  23934","143975","  31139"," 10778"," 41917","10778","PA"
"cashflow_I1"," -23630","  -2779"," 81575","  12831","  7156"," 19987"," 7156","PA"
"cashflow_I2"," -23206","  -2013"," 82620","  13529","  6831"," 20359"," 6831","PA"
"cashflow_I3"," -23119","  -1721"," 81387","  13601","  6786"," 20387"," 6786","PA"
"cashflow_I4"," -23092","  -1654"," 82485","  13769","  6807"," 20577"," 6807","PA"
"cashflow_I5"," -23363","  -1642"," 81905","  13789","  6787"," 20576"," 6787","PA"
"cashflow_I6"," -23438","  -2382"," 80237","  12770","  6926"," 19696"," 6926","PA"
"cashflow_I7"," -23278","  -2190"," 80640","  13103","  6849"," 19953"," 6849","PA"
"cashflow_I8"," -23651","  -2191"," 81841","  13128","  6929"," 20057"," 6929","PA"
"cashflow_I9"," -23142","  -1980"," 80081","  13205","  6815"," 20020"," 6815","PA"
"cashflow_I10"," -23684","  -2174"," 80967","  12857","  6910"," 19767"," 6910","PA"
"NPV_I","-127127","  94983","433430"," 117104"," 20384","137487","20384","PA"
"cashflow_S1","-117228"," -65978","-11842"," -65072"," 65420","   349","  349","SQ"
"cashflow_S2"," -33919","  -9396"," 34173","  -6167"," 11736","  5569"," 5569","SQ"
"cashflow_S3"," -33731","  -9263"," 33778","  -6245"," 11673","  5428"," 5428","SQ"
"cashflow_S4"," -33674","  -9043"," 34572","  -5899"," 11612","  5713"," 5713","SQ"
"cashflow_S5"," -33739","  -9254"," 34295","  -6036"," 11685","  5650"," 5650","SQ"
"cashflow_S6"," -33804","  -9551"," 34098","  -6440"," 11815","  5375"," 5375","SQ"
"cashflow_S7"," -33713","  -9268"," 31980","  -6516"," 11702","  5186"," 5186","SQ"
"cashflow_S8"," -33575","  -9253"," 32281","  -6433"," 11645","  5212"," 5212","SQ"
"cashflow_S9"," -34061","  -9316"," 33880","  -6186"," 11725","  5539"," 5539","SQ"
"cashflow_S10"," -33730","  -9499"," 33914","  -6171"," 11715","  5544"," 5544","SQ"
"NPV_S","-328262","-117831","118639","-113737","129911"," 16174","16174","SQ"
"comp_NPV_IG","-163962","  69405","391325","  85965"," 29775","115741","29775","PA"
"comp_NPV_SG","-375390","-146639"," 89786","-144875","156826"," 11951","11951","SQ"
